/* Initial Dimensionless Superdroplets Data
 VOL0 = 1000000.0[m^3],  R0 = 1e-06[m],  RHO_SOL = 784.0907946937823[Kg m^-3]
eps,           r,           m_sol */
155486503130.00000000000000,0.01188502227437,0.00551385021888
290890126950.00000000000000,0.01678804018123,0.01554014134244
293409581699.00000000000000,0.02371373705662,0.04379806910898
162297302994.00000000000000,0.03349654391578,0.12343973039908
56722866434.00000000000000,0.04731512589615,0.34790042919666
27986579572.00000000000000,0.06683439175686,0.98051663142744
33657926860.00000000000000,0.09440608762859,2.76347133783601
44114501374.00000000000000,0.13335214321633,7.78852044959559
49502588986.00000000000000,0.18836490894898,21.95103309494450
46803878961.00000000000000,0.26607250597988,61.86641699841248
37282150303.00000000000000,0.37583740428844,174.36325368681398
25093647759.00000000000000,0.53088444423099,491.42241803065355
14513776137.00000000000000,0.74989420933245,1385.01655501829305
7821387704.00000000000000,1.05925372517729,3903.50701818227662
5023882623.00000000000000,1.49623565609443,11001.57755211588665
4716559620.00000000000000,2.11348903983664,31006.65838986560266
5096790112.00000000000000,2.98538261891796,87388.63676154508721
4854511755.00000000000000,4.21696503428581,246294.64223520693486
3715190403.00000000000000,5.95662143529010,694152.61573759699240
2233660439.00000000000000,8.41395141645194,1956387.88388740830123
